id,name,league,Region
BOS,Boston,AL,East
TOR,Toronto,AL,East
PIT,Pittsburgh,NL,Central
NYA,NewYork Yankees,AL,East
ARI,Arizona,NL,West
BAL,Baltimore,AL,East
CHN,Chicago Cubs,NL,Central
COL,Colorado,NL,West
TEX,Texas,AL,West
LAN,LA Dodgers,NL,West
HOU,Houston,AL,West
NYN,New York Mets,NL,East
OAK,Oakland,AL,West
CLE,Cleveland,AL,Central
PHI,Philadelphia,NL,East
SDN,San Diego,NL,West
WAS,Washington,NL,East
MIL,Milwaukee,NL,Central
ATL,Atlanta,NL,East
SEA,Seatle,AL,West
MIA,Miami,NL,East
SFN,San Fransisco,NL,West
CIN,Cincinnati,NL,Central
DET,Detroit,AL,Central
TBA,Tampa Bay,AL,East
CHA,Chicago White Sox,AL,Central
MIN,Minesotta,AL,Central
ANA,LA Angels,AL,Central
SLN,SLN,NL,
KCA,Kansas City,AL,Central
FLO,FLD,NL,
Yakult Swallows,Yakult Swallows,,